City_ID,City,Lat,Long,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Sitka,57.05,-135.33,51.8,81,75,9.17,US,1592348338
1,Rikitea,-23.12,-134.97,75.54,78,72,12.66,PF,1592348338
2,Torbay,47.67,-52.73,64.4,45,75,17.22,CA,1592348339
3,Mujiayingzi,42.12,118.78,77.11,27,64,8.97,CN,1592348215
4,Albany,42.6,-73.97,82.0,35,0,0.76,US,1592348136
5,Homa Bay,-0.53,34.46,64.83,85,99,4.38,KE,1592348339
6,Teguise,29.06,-13.56,73.4,83,87,8.05,ES,1592348339
7,High Level,58.52,-117.14,51.8,87,90,10.29,CA,1592348267
8,Forsytheganj,52.63,29.73,63.55,94,0,7.23,BY,1592348339
9,Hermanus,-34.42,19.23,55.0,83,0,1.99,ZA,1592348340
10,San Pedro Ayampuc,14.79,-90.45,75.2,73,75,11.41,GT,1592348340
11,Ushuaia,-54.8,-68.3,37.4,86,75,5.82,AR,1592348212
12,Busselton,-33.65,115.33,60.01,47,86,23.73,AU,1592348214
13,Yokadouma,3.52,15.05,69.26,95,91,2.21,CM,1592348340
14,Upernavik,72.79,-56.15,32.31,94,80,4.99,GL,1592348224
15,Saint George,37.1,-113.58,95.0,11,1,26.4,US,1592348089
16,Avarua,-21.21,-159.78,75.2,60,2,10.29,CK,1592348341
17,Thompson,55.74,-97.86,78.8,27,75,9.17,CA,1592348341
18,Kruisfontein,-34.0,24.73,50.16,92,0,4.43,ZA,1592348341
19,Ginda,30.69,78.49,65.17,50,17,5.26,IN,1592348341
20,Jamestown,42.1,-79.24,73.99,46,1,13.87,US,1592348172
21,Bredasdorp,-34.53,20.04,44.6,93,0,3.51,ZA,1592348342
22,Lambari,-21.98,-45.35,57.9,87,2,3.83,BR,1592348342
23,Kahului,20.89,-156.47,82.4,58,40,21.92,US,1592348342
24,Bluff,-46.6,168.33,48.4,88,78,24.09,NZ,1592348342
25,New Norfolk,-42.78,147.06,39.99,85,12,1.99,AU,1592348320
26,Sterling,39.01,-77.43,73.99,46,75,11.41,US,1592348342
27,Khatanga,71.97,102.5,49.12,52,93,8.59,RU,1592348342
28,Kadirli,37.37,36.1,73.0,83,62,1.74,TR,1592348159
29,Geraldton,-28.77,114.6,55.4,47,0,18.34,AU,1592348343
30,Ancud,-41.87,-73.82,51.01,93,90,3.36,CL,1592348267
31,Coração de Jesus,-16.69,-44.37,63.1,79,28,6.13,BR,1592348343
32,Russell,32.35,-85.2,78.8,47,75,6.93,US,1592348343
33,Aykhal,66.0,111.5,51.8,57,62,4.47,RU,1592348343
34,Kiruna,67.86,20.23,50.0,53,0,4.7,SE,1592348344
35,Pingdingshan,33.74,113.3,67.15,89,100,10.22,CN,1592348344
36,Bansang,13.43,-14.65,91.35,45,26,10.25,GM,1592348344
37,Usinsk,65.99,57.53,39.31,73,67,14.2,RU,1592348344
38,Brigham City,41.51,-112.02,64.4,48,1,9.17,US,1592348344
39,Hong Kong,22.29,114.16,84.0,70,2,5.99,HK,1592348225
40,Mount Gambier,-37.83,140.77,44.6,100,90,1.12,AU,1592348344
41,Port Alfred,-33.59,26.89,57.0,85,13,5.99,ZA,1592348193
42,Kasongo-Lunda,-6.47,16.82,68.05,40,0,1.97,CD,1592348345
43,Puerto Ayora,-0.74,-90.35,73.0,87,55,5.01,EC,1592348345
44,Chapais,49.78,-74.85,78.8,21,75,11.41,CA,1592348345
45,Bereda,43.27,-7.54,55.0,94,20,1.99,ES,1592348345
46,Saquena,-4.67,-73.52,76.21,93,22,1.77,PE,1592348346
47,Husavik,66.04,-17.34,51.8,57,20,12.75,IS,1592348236
48,George Town,5.41,100.34,78.8,94,20,2.24,MY,1592348346
49,Hasaki,35.73,140.83,75.0,68,40,8.05,JP,1592348346
50,Hamilton,39.18,-84.53,80.01,39,75,10.29,US,1592348271
51,Tuktoyaktuk,69.45,-133.04,57.2,71,90,9.17,CA,1592348346
52,Baruun-Urt,46.68,113.28,70.27,40,51,1.01,MN,1592348277
53,Ponta do Sol,32.67,-17.1,68.0,94,40,3.36,PT,1592348195
54,Port Elizabeth,-33.92,25.57,59.0,82,0,5.82,ZA,1592348055
55,Fairbanks,64.84,-147.72,75.99,40,20,2.93,US,1592348121
56,San Patricio,19.22,-104.7,84.2,74,5,20.8,MX,1592348347
